SalesID,Date,ProductID,Revenue,Profit,StockID,StockDate,StockQuantity
1,01-01-2023,1,100,10,1,01-01-2023,50
2,02-01-2023,2,200,20,2,02-01-2023,60
3,03-01-2023,3,150,15,3,03-01-2023,70
4,04-01-2023,4,250,25,4,04-01-2023,80
5,05-01-2023,5,300,30,5,05-01-2023,90
6,06-01-2023,6,180,18,6,06-01-2023,100
7,07-01-2023,7,220,22,7,07-01-2023,110
8,08-01-2023,8,270,27,8,08-01-2023,120
9,09-01-2023,9,320,32,9,09-01-2023,130
10,10-01-2023,10,190,19,10,10-01-2023,140
11,01-02-2023,1,100,10,11,01-02-2023,50
12,02-02-2023,2,200,20,12,02-02-2023,60
13,03-02-2023,3,150,15,13,03-02-2023,70
14,04-02-2023,4,250,25,14,04-02-2023,80
15,05-02-2023,5,300,30,15,05-02-2023,90
16,06-02-2023,6,180,18,16,06-02-2023,100
17,07-02-2023,7,220,22,17,07-02-2023,110
18,08-02-2023,8,270,27,18,08-02-2023,120
19,09-02-2023,9,320,32,19,09-02-2023,130
20,10-02-2023,10,190,19,20,10-02-2023,140
21,01-03-2023,1,100,10,21,01-03-2023,50
22,02-03-2023,2,200,20,22,02-03-2023,60
23,03-03-2023,3,150,15,23,03-03-2023,70
24,04-03-2023,4,250,25,24,04-03-2023,80
25,05-03-2023,5,300,30,25,05-03-2023,90
26,06-03-2023,6,180,18,26,06-03-2023,100
27,07-03-2023,7,220,22,27,07-03-2023,110
28,08-03-2023,8,270,27,28,08-03-2023,120
29,09-03-2023,9,320,32,29,09-03-2023,130
30,10-03-2023,10,190,19,30,10-03-2023,140
31,01-04-2023,1,100,10,31,01-04-2023,50
32,02-04-2023,2,200,20,32,02-04-2023,60
33,03-04-2023,3,150,15,33,03-04-2023,70
34,04-04-2023,4,250,25,34,04-04-2023,80
35,05-04-2023,5,300,30,35,05-04-2023,90
36,06-04-2023,6,180,18,36,06-04-2023,100
37,07-04-2023,7,220,22,37,07-04-2023,110
38,08-04-2023,8,270,27,38,08-04-2023,120
39,09-04-2023,9,320,32,39,09-04-2023,130
40,10-04-2023,10,190,19,40,10-04-2023,140
41,01-01-2024,1,100,10,41,01-01-2024,50
42,02-01-2024,2,200,20,42,02-01-2024,60
43,03-01-2024,3,150,15,43,03-01-2024,70
44,04-01-2024,4,250,25,44,04-01-2024,80
45,05-01-2024,5,300,30,45,05-01-2024,90
46,06-01-2024,6,180,18,46,06-01-2024,100
47,07-01-2024,7,220,22,47,07-01-2024,110
48,08-01-2024,8,270,27,48,08-01-2024,120
49,09-01-2024,9,320,32,49,09-01-2024,130
50,10-01-2024,10,190,19,50,10-01-2024,140
51,01-02-2024,1,100,10,51,01-02-2024,50
52,02-02-2024,2,200,20,52,02-02-2024,60
53,03-02-2024,3,150,15,53,03-02-2024,70
54,04-02-2024,4,250,25,54,04-02-2024,80
55,05-02-2024,5,300,30,55,05-02-2024,90
56,06-02-2024,6,180,18,56,06-02-2024,100
57,07-02-2024,7,220,22,57,07-02-2024,110
58,08-02-2024,8,270,27,58,08-02-2024,120
59,09-02-2024,9,320,32,59,09-02-2024,130
60,10-02-2024,10,190,19,60,10-02-2024,140
61,01-03-2024,1,100,10,61,01-03-2024,50
62,02-03-2024,2,200,20,62,02-03-2024,60
63,03-03-2024,3,150,15,63,03-03-2024,70
64,04-03-2024,4,250,25,64,04-03-2024,80
65,05-03-2024,5,300,30,65,05-03-2024,90
66,06-03-2024,6,180,18,66,06-03-2024,100
67,07-03-2024,7,220,22,67,07-03-2024,110
68,08-03-2024,8,270,27,68,08-03-2024,120
69,09-03-2024,9,320,32,69,09-03-2024,130
70,10-03-2024,10,190,19,70,10-03-2024,140
71,01-04-2024,1,100,10,71,01-04-2024,50
72,02-04-2024,2,200,20,72,02-04-2024,60
73,03-04-2024,3,150,15,73,03-04-2024,70
74,04-04-2024,4,250,25,74,04-04-2024,80
75,05-04-2024,5,300,30,75,05-04-2024,90
76,06-04-2024,6,180,18,76,06-04-2024,100
77,07-04-2024,7,220,22,77,07-04-2024,110
78,08-04-2024,8,270,27,78,08-04-2024,120
79,09-04-2024,9,320,32,79,09-04-2024,130
80,10-04-2024,10,190,19,80,10-04-2024,140
